Номинация,Компания,cleaned_text,tokenized_text,lemmatized_text,pos_tags
"Номинация «Государство и Общество»: ▪ «Навигатор возможностей» (Федеральное агентство по делам молодёжи); ▪ Города.РФ – проект от Государственной корпорации развития ""ВЭБ.РФ""; ▪ Платформа поставки данных ФНС (Федеральная налоговая служба); ▪ Социальные сети Госуслуг: чат-бот с инструкциями для разных жизненных ситуаций (выбор искусственного интеллекта).",«Навигатор возможностей» (Федеральное агентство по делам молодёжи),"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']","['Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']"
"Номинация «Государство и Общество»: ▪ «Навигатор возможностей» (Федеральное агентство по делам молодёжи); ▪ Города.РФ – проект от Государственной корпорации развития ""ВЭБ.РФ""; ▪ Платформа поставки данных ФНС (Федеральная налоговая служба); ▪ Социальные сети Госуслуг: чат-бот с инструкциями для разных жизненных ситуаций (выбор искусственного интеллекта).",Города.РФ ,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']","['Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']"
"Номинация «Государство и Общество»: ▪ «Навигатор возможностей» (Федеральное агентство по делам молодёжи); ▪ Города.РФ – проект от Государственной корпорации развития ""ВЭБ.РФ""; ▪ Платформа поставки данных ФНС (Федеральная налоговая служба); ▪ Социальные сети Госуслуг: чат-бот с инструкциями для разных жизненных ситуаций (выбор искусственного интеллекта).",Платформа поставки данных ФНС (Федеральная налоговая служба),"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']","['Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']"
"Номинация «Государство и Общество»: ▪ «Навигатор возможностей» (Федеральное агентство по делам молодёжи); ▪ Города.РФ – проект от Государственной корпорации развития ""ВЭБ.РФ""; ▪ Платформа поставки данных ФНС (Федеральная налоговая служба); ▪ Социальные сети Госуслуг: чат-бот с инструкциями для разных жизненных ситуаций (выбор искусственного интеллекта).",Социальные сети Госуслуг,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']","['Государство', 'и', 'Общество', 'Навигатор', 'возможностей', 'Федеральное', 'агентство', 'по', 'делам', 'молодёжи', 'ГородаРФ', 'проект', 'от', 'Государственной', 'корпорации', 'развития', 'ВЭБРФ', 'Платформа', 'поставки', 'данных', 'ФНС', 'Федеральная', 'налоговая', 'служба', 'Социальные', 'сети', 'Госуслуг', 'чатбот', 'с', 'инструкциями', 'для', 'разных', 'жизненных', 'ситуаций', 'выбор', 'искусственного', 'интеллекта']"
Специальные награды в номинации «Государство и Общество»: ▪ Общероссийский народный фронт (ОНФ); ▪ Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы; ▪ Международный форум инноваций БРИКС «Облачный город»; ▪ Зал Славы – проект от Организации развития видеоигровой индустрии; ▪ Портал Российское казачество; ▪ Фактчекинговый проект «Лапша Медиа» (АНО «Диалог Регионы»).,Общероссийский народный фронт (ОНФ),"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']"
Специальные награды в номинации «Государство и Общество»: ▪ Общероссийский народный фронт (ОНФ); ▪ Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы; ▪ Международный форум инноваций БРИКС «Облачный город»; ▪ Зал Славы – проект от Организации развития видеоигровой индустрии; ▪ Портал Российское казачество; ▪ Фактчекинговый проект «Лапша Медиа» (АНО «Диалог Регионы»).,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']"
Специальные награды в номинации «Государство и Общество»: ▪ Общероссийский народный фронт (ОНФ); ▪ Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы; ▪ Международный форум инноваций БРИКС «Облачный город»; ▪ Зал Славы – проект от Организации развития видеоигровой индустрии; ▪ Портал Российское казачество; ▪ Фактчекинговый проект «Лапша Медиа» (АНО «Диалог Регионы»).,Международный форум инноваций БРИКС «Облачный город»,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']"
Специальные награды в номинации «Государство и Общество»: ▪ Общероссийский народный фронт (ОНФ); ▪ Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы; ▪ Международный форум инноваций БРИКС «Облачный город»; ▪ Зал Славы – проект от Организации развития видеоигровой индустрии; ▪ Портал Российское казачество; ▪ Фактчекинговый проект «Лапша Медиа» (АНО «Диалог Регионы»).,Зал Славы ,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']"
Специальные награды в номинации «Государство и Общество»: ▪ Общероссийский народный фронт (ОНФ); ▪ Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы; ▪ Международный форум инноваций БРИКС «Облачный город»; ▪ Зал Славы – проект от Организации развития видеоигровой индустрии; ▪ Портал Российское казачество; ▪ Фактчекинговый проект «Лапша Медиа» (АНО «Диалог Регионы»).,Портал Российское казачество,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']"
Специальные награды в номинации «Государство и Общество»: ▪ Общероссийский народный фронт (ОНФ); ▪ Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы; ▪ Международный форум инноваций БРИКС «Облачный город»; ▪ Зал Славы – проект от Организации развития видеоигровой индустрии; ▪ Портал Российское казачество; ▪ Фактчекинговый проект «Лапша Медиа» (АНО «Диалог Регионы»).,Фактчекинговый проект «Лапша Медиа» (АНО «Диалог Регионы»).,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['Специальные', 'награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']","['награды', 'в', 'номинации', 'Государство', 'и', 'Общество', 'Общероссийский', 'народный', 'фронт', 'ОНФ', 'Департамент', 'транспорта', 'и', 'развития', 'дорожнотранспортной', 'инфраструктуры', 'города', 'Москвы', 'Международный', 'форум', 'инноваций', 'БРИКС', 'Облачный', 'город', 'Зал', 'Славы', 'проект', 'от', 'Организации', 'развития', 'видеоигровой', 'индустрии', 'Портал', 'Российское', 'казачество', 'Фактчекинговый', 'проект', 'Лапша', 'Медиа', 'АНО', 'Диалог', 'Регионы']"
Номинация «СМИ и массовые коммуникации»: ▪ Woman.ru (Shkulev Media Holding); ▪ Док-реалити «Лица»; ▪ Хорошие новости; ▪ AdIndex — новостное комьюнити медиарекламного рынка России (ООО А.А.И.) (выбор искусственного интеллекта).,Woman.ru (Shkulev Media Holding),"['', '', '', '', '', 'Womanru', 'Shkulev', 'Media', 'Holding', '', '', '', '', 'AdIndex', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']","['СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']"
Номинация «СМИ и массовые коммуникации»: ▪ Woman.ru (Shkulev Media Holding); ▪ Док-реалити «Лица»; ▪ Хорошие новости; ▪ AdIndex — новостное комьюнити медиарекламного рынка России (ООО А.А.И.) (выбор искусственного интеллекта).,Док-реалити «Лица»,"['', '', '', '', '', 'Womanru', 'Shkulev', 'Media', 'Holding', '', '', '', '', 'AdIndex', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']","['СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']"
Номинация «СМИ и массовые коммуникации»: ▪ Woman.ru (Shkulev Media Holding); ▪ Док-реалити «Лица»; ▪ Хорошие новости; ▪ AdIndex — новостное комьюнити медиарекламного рынка России (ООО А.А.И.) (выбор искусственного интеллекта).,Хорошие новости,"['', '', '', '', '', 'Womanru', 'Shkulev', 'Media', 'Holding', '', '', '', '', 'AdIndex', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']","['СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']"
Номинация «СМИ и массовые коммуникации»: ▪ Woman.ru (Shkulev Media Holding); ▪ Док-реалити «Лица»; ▪ Хорошие новости; ▪ AdIndex — новостное комьюнити медиарекламного рынка России (ООО А.А.И.) (выбор искусственного интеллекта).,AdIndex ,"['', '', '', '', '', 'Womanru', 'Shkulev', 'Media', 'Holding', '', '', '', '', 'AdIndex', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']","['СМИ', 'и', 'массовые', 'коммуникации', 'Womanru', 'Shkulev', 'Media', 'Holding', 'Докреалити', 'Лица', 'Хорошие', 'новости', 'AdIndex', 'новостное', 'комьюнити', 'медиарекламного', 'рынка', 'России', 'ООО', 'ААИ', 'выбор', 'искусственного', 'интеллекта']"
Специальные награды в номинации «СМИ и массовые коммуникации»: ▪ Комплексный спецпроект «Вселенная Росмолодежи» — от медиагруппы «Россия сегодня».,Комплексный спецпроект «Вселенная Росмолодежи» ,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Специальные', 'награды', 'в', 'номинации', 'СМИ', 'и', 'массовые', 'коммуникации', 'Комплексный', 'спецпроект', 'Вселенная', 'Росмолодежи', 'от', 'медиагруппы', 'Россия', 'сегодня']","['Специальные', 'награды', 'в', 'номинации', 'СМИ', 'и', 'массовые', 'коммуникации', 'Комплексный', 'спецпроект', 'Вселенная', 'Росмолодежи', 'от', 'медиагруппы', 'Россия', 'сегодня']","['награды', 'в', 'номинации', 'СМИ', 'и', 'массовые', 'коммуникации', 'Комплексный', 'спецпроект', 'Вселенная', 'Росмолодежи', 'от', 'медиагруппы', 'Россия', 'сегодня']"
